Pointing,RA,DEC,Obs_time_UTC,Obs_Time_LST
MSGPS_S_0000,09:55:45.19,-56:17:56.74,2023-03-10 15:34:08,04:12:05.996100
MSGPS_S_0001,09:56:02.73,-56:00:48.59,2023-03-10 15:57:09,04:35:06.996100
MSGPS_S_0002,09:57:57.3,-55:54:17.39,2023-03-10 16:20:10,04:58:07.996100
MSGPS_S_0003,09:58:13.69,-55:37:08.06,2023-03-10 16:43:11,05:21:08.996100
MSGPS_S_0004,10:00:06.75,-55:30:29.37,2023-03-10 17:06:12,05:44:09.996100
MSGPS_S_0005,10:00:22.03,-55:13:18.99,2023-03-10 17:29:13,06:07:10.996100
MSGPS_S_0006,10:02:13.61,-55:06:33,2023-03-10 17:52:14,06:30:11.996100
MSGPS_S_0054,10:12:50.4,-54:58:15.87,2023-03-10 18:15:15,06:53:12.996100
MSGPS_S_0173,10:30:00.1,-57:06:41.45,2023-03-10 18:38:16,07:16:13.996100
MSGPS_S_0253,10:37:35.3,-60:00:00.47,2023-03-10 19:01:17,07:39:14.996100
MSGPS_S_0330,10:52:04.71,-60:56:36.87,2023-03-10 19:24:18,08:02:15.996100
MSGPS_S_0440,11:14:12.63,-62:06:47.13,2023-03-10 19:54:21,08:32:18.996100
MSGPS_S_0007,10:02:27.83,-54:49:21.66,2023-03-10 15:34:08,04:12:05.996100
MSGPS_S_0008,10:04:17.95,-54:42:28.55,2023-03-10 15:57:09,04:35:06.996100
MSGPS_S_0009,10:04:31.17,-54:25:16.36,2023-03-10 16:20:10,04:58:07.996100
MSGPS_S_0010,10:06:19.84,-54:18:16.31,2023-03-10 16:43:11,05:21:08.996100
MSGPS_S_0011,09:57:23.77,-56:28:35.53,2023-03-10 17:06:12,05:44:09.996100
MSGPS_S_0012,09:57:40.67,-56:11:26.55,2023-03-10 17:29:13,06:07:10.996100
MSGPS_S_0013,09:59:35.49,-56:04:49.74,2023-03-10 17:52:14,06:30:11.996100
MSGPS_S_0061,10:10:28.85,-55:57:21.85,2023-03-10 18:15:15,06:53:12.996100
MSGPS_S_0175,10:31:52.55,-56:40:56.35,2023-03-10 18:38:16,07:16:13.996100
MSGPS_S_0254,10:37:33.87,-59:42:41.99,2023-03-10 19:01:17,07:39:14.996100
MSGPS_S_0331,10:51:55.58,-60:39:20.48,2023-03-10 19:24:18,08:02:15.996100
MSGPS_S_0442,11:15:45.17,-61:38:51.4,2023-03-10 19:54:21,08:32:18.996100
